id,condition,mode,condition_mode,station,time_frame_begin,time_frame_end,motion_sickness_score,name_of_audio_data,motionsickness_score_rating_begin,motionsickness_score_rating_accepted_timeStamp,average_velocity
13,Blob,hybrid,BlobHybrid,4,1638195889.3289928,1638195934.3439264,0,013_BlobHybrid_4,1638195876.361631,1638195883.3111398,0.0082325005340382
13,Blob,hybrid,BlobHybrid,1,1638195144.5918136,1638195189.644127,0,013_BlobHybrid_1,1638195129.8053942,1638195136.7045605,0.0069348233059369
14,Avatar,Firstperson,AvatarFirstperson,1,1638259841.682224,1638259886.7651732,1,014_AvatarFirstperson_1,1638259804.8123114,1638259833.9258046,0.0054610416493271
14,Avatar,Firstperson,AvatarFirstperson,2,1638260227.958677,1638260273.0250554,0,014_AvatarFirstperson_2,1638260214.2104812,1638260218.2662995,0.005374678125803
14,Avatar,Firstperson,AvatarFirstperson,4,1638260494.09594,1638260539.1205332,1,014_AvatarFirstperson_4,1638260476.7247698,1638260482.4975674,0.0061184029552286
14,Avatar,Firstperson,AvatarFirstperson,3,1638260725.186874,1638260770.2089891,1,014_AvatarFirstperson_3,1638260714.9136834,1638260720.0819397,0.0056214088983164
14,Avatar,hybrid,AvatarHybrid,0,1638261724.9917152,1638261770.033481,0,014_AvatarHybrid_0,1638261716.5935276,1638261720.2565346,0.0048242949091466
14,Avatar,hybrid,AvatarHybrid,3,1638261969.0715432,1638262014.112292,1,014_AvatarHybrid_3,1638261956.942937,1638261961.4288592,0.00466620567894
14,Avatar,hybrid,AvatarHybrid,1,1638262154.8509195,1638262199.9552398,0,014_AvatarHybrid_1,1638262143.2255633,1638262149.9134638,0.005272381757498
14,Avatar,hybrid,AvatarHybrid,4,1638262399.1247146,1638262444.1375103,0,014_AvatarHybrid_4,1638262390.0022016,1638262394.6897027,0.0056603228453632
14,Avatar,Firstperson,AvatarFirstperson,0,1638259588.8272233,1638259633.8775096,0,014_AvatarFirstperson_0,1638259560.99293,1638259576.2039194,0.0051221039903298
14,Avatar,hybrid,AvatarHybrid,2,1638262628.4789128,1638262673.5227067,0,014_AvatarHybrid_2,1638262619.36802,1638262622.2035215,0.0050247480756511
15,Blob,hybrid,BlobHybrid,4,1638272120.5932724,1638272165.614868,1,015_BlobHybrid_4,1638272109.8861966,1638272114.3890245,0.0086840704355583
15,Blob,hybrid,BlobHybrid,0,1638271406.6391242,1638271451.6825306,0,015_BlobHybrid_0,1638271393.6485453,1638271397.0925016,0.0067361119623585
15,Blob,Firstperson,BlobFirstperson,4,1638269961.1205077,1638270006.1414416,2,015_BlobFirstperson_4,1638269945.9294016,1638269956.614345,0.0082985606221355
15,Blob,hybrid,BlobHybrid,3,1638271582.6366534,1638271627.6836803,1,015_BlobHybrid_3,1638271570.2015328,1638271574.7674687,0.0076775810332852
15,Blob,Firstperson,BlobFirstperson,2,1638269797.1505609,1638269842.2011902,0,015_BlobFirstperson_2,1638269789.2605314,1638269792.6565676,0.0087507533864485
15,Blob,Firstperson,BlobFirstperson,3,1638269533.930416,1638269578.9835796,0,015_BlobFirstperson_3,1638269524.0063252,1638269529.2915845,0.0078373013708239
15,Blob,Firstperson,BlobFirstperson,1,1638269345.142547,1638269390.2167432,1,015_BlobFirstperson_1,1638269328.8275735,1638269336.02984,0.0068423477304611
15,Blob,hybrid,BlobHybrid,2,1638271783.8328836,1638271828.8866014,1,015_BlobHybrid_2,1638271766.507341,1638271774.980423,0.0061368017746848
15,Blob,hybrid,BlobHybrid,1,1638271938.8744757,1638271983.954716,1,015_BlobHybrid_1,1638271923.1804464,1638271930.6402617,0.0070202953590854
15,Blob,Firstperson,BlobFirstperson,0,1638269173.0681796,1638269218.1198628,1,015_BlobFirstperson_0,1638269119.887248,1638269149.055138,0.0091171704698328
16,Avatar,Firstperson,AvatarFirstperson,0,1638350403.6243558,1638350448.6821258,0,016_AvatarFirstperson_0,1638350396.6424062,1638350399.297035,0.0095473350619352
16,Avatar,hybrid,AvatarHybrid,2,1638349042.5289435,1638349087.5907674,0,016_AvatarHybrid_2,1638349027.169878,1638349037.1315932,0.0166417402861688
16,Avatar,Firstperson,AvatarFirstperson,1,1638351163.557587,1638351208.6271474,0,016_AvatarFirstperson_1,1638351154.1877055,1638351157.7763612,0.0094614964993017
16,Avatar,hybrid,AvatarHybrid,3,1638348582.9913452,1638348628.0250828,0,016_AvatarHybrid_3,1638348568.106621,1638348575.0816708,0.0091263266637508
16,Avatar,hybrid,AvatarHybrid,1,1638348369.2178588,1638348414.3210227,0,016_AvatarHybrid_1,1638348350.3419027,1638348359.7221336,0.0092966957842296
16,Avatar,hybrid,AvatarHybrid,0,1638348188.4824407,1638348233.5370293,0,016_AvatarHybrid_0,1638348156.4730525,1638348170.9885736,0.0086089468680665
16,Avatar,Firstperson,AvatarFirstperson,3,1638350597.5156472,1638350642.5747368,0,016_AvatarFirstperson_3,1638350585.8928154,1638350591.985808,0.0126963940659037
16,Avatar,Firstperson,AvatarFirstperson,2,1638350785.5960264,1638350830.6686358,0,016_AvatarFirstperson_2,1638350765.039844,1638350773.9942832,0.0137160632235912
16,Avatar,Firstperson,AvatarFirstperson,4,1638350980.5421076,1638351025.5566592,0,016_AvatarFirstperson_4,1638350972.1879072,1638350975.393384,0.013767374754696
